attending_username,attending_email,attending_phone
Banks.J,DrBanksJohn@BLH_hospital.com,228-677-1325
Bowen.K,DrBowenKaren@BLH_hospital.com,720-473-9173
Chapman.R,DrChapmanRhonda@BLH_hospital.com,513-950-5371
Cline.A,DrClineAnthony@BLH_hospital.com,194-845-0088
Davis.D,DrDavisDiana@BLH_hospital.com,886-216-3283
Dixon.K,DrDixonKathleen@BLH_hospital.com,417-146-2773
Duffy.B,DrDuffyBrittany@BLH_hospital.com,743-422-0433
Gray.D,DrGrayDaniel@BLH_hospital.com,567-520-5272
Harris.S,DrHarrisSamuel@BLH_hospital.com,406-485-1891
Hernandez.O,DrHernandezOscar@BLH_hospital.com,237-373-7970
Hernandez.S,DrHernandezSusan@BLH_hospital.com,678-234-3285
Johnson.K,DrJohnsonKeith@BLH_hospital.com,510-834-4189
Nixon.S,DrNixonSean@BLH_hospital.com,075-751-8384
Patel.R,DrPatelRyan@BLH_hospital.com,627-065-9464
Rodriguez.C,DrRodriguezCynthia@BLH_hospital.com,242-909-5795
Sloan.S,DrSloanSamuel@BLH_hospital.com,873-575-3487
Stark.S,DrStarkStephanie@BLH_hospital.com,135-092-8351
Stephens.G,DrStephensGrant@BLH_hospital.com,182-920-1409
Williams.B,DrWilliamsBrian@BLH_hospital.com,705-831-7275
Williams.C,DrWilliamsChris@BLH_hospital.com,115-709-4728
